epoch,train_loss,val_loss
1,0.9995041340589523,1.0
2,0.9992342293262482,1.0
3,0.9992694705724716,1.0
4,0.9991324543952942,1.0
5,0.9990429580211639,1.0
6,0.9989968985319138,1.0
7,0.9989583194255829,1.0
8,0.998925507068634,1.0
9,0.9989226460456848,1.0
10,0.9989211112260818,1.0
11,0.9988905042409897,1.0
12,0.9988404661417007,1.0
13,0.9987985193729401,1.0
14,0.9987519383430481,1.0
15,0.9986731112003326,1.0
16,0.9985092729330063,1.0
17,0.9976449310779572,1.0
18,0.9956839233636856,1.0
19,0.9912808239459991,1.0
20,0.9390748292207718,1.0
